Rapport généré le : 2025-07-29 15:55:40;Critères de recherche : Aucun;Nombre de répertoires : 32;Nombre de fichiers : 155;Temps total : 0.06 secondes

type;repertoire;nom;taille;date_derniere_modification
fichier;c:\\temp\\htmljson;main2.py;0 octets;2025-04-17 09:31:05
fichier;c:\\temp\\htmljson;run_server.py;219 octets;2025-04-16 23:45:10
repertoire;c:\\temp\\htmljson\siteweb;;746 octets;2025-04-16 23:43:41
fichier;c:\\temp\\htmljson\siteweb;index.html;746 octets;2025-04-16 23:43:41
repertoire;c:\\temp\\htmljson\static;;109 octets;2025-04-16 23:44:18
repertoire;c:\\temp\\htmljson\static\css;;109 octets;2025-04-16 23:44:41
fichier;c:\\temp\\htmljson\static\css;style.css;109 octets;2025-04-16 23:44:41
repertoire;c:\\temp\\htmljson\__pycache__;;1.38 Ko;2025-04-16 23:46:43
fichier;c:\\temp\\htmljson\__pycache__;main.cpython-312.pyc;1.38 Ko;2025-04-16 23:46:43
repertoire;c:\\temp\\Nouveau dossier;;20.75 Ko;2025-07-08 15:46:04
fichier;c:\\temp\\Nouveau dossier;csv_analyzer.py;1.54 Ko;2025-07-08 12:35:52
fichier;c:\\temp\\Nouveau dossier;csv_loader.py;3.32 Ko;2025-07-07 15:15:58
fichier;c:\\temp\\Nouveau dossier;data_transformer.py;3.23 Ko;2025-07-08 14:59:55
fichier;c:\\temp\\Nouveau dossier;data_validator.py;2.4 Ko;2025-07-08 14:36:12
fichier;c:\\temp\\Nouveau dossier;quick_analyzer.py;3.63 Ko;2025-07-07 15:10:24
fichier;c:\\temp\\Nouveau dossier;test_data_transformer.py;3.36 Ko;2025-07-08 15:02:08
fichier;c:\\temp\\Nouveau dossier;test_data_validator.py;3.27 Ko;2025-07-08 14:32:34
repertoire;c:\\temp\\reports;;47.36 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;complete_report_20250729_155540.csv;13.4 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_after_2024_20250729_155540.csv;13.73 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_contains_main_20250729_155540.csv;2.92 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_ext_py_20250729_155540.csv;5.68 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_regex_log_txt_20250729_155540.csv;3.81 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_size_20250729_155540.csv;7.83 Ko;2025-07-29 15:55:40
repertoire;c:\\temp\\temp;;0 octets;2025-07-10 17:29:25
repertoire;c:\\temp\\tools;;433.95 Ko;2025-07-21 18:00:01
fichier;c:\\temp\\tools;README.md;1.84 Ko;2025-07-07 14:49:02
fichier;c:\\temp\\tools;setup.py;1.42 Ko;2025-07-07 14:54:10
fichier;c:\\temp\\tools;test_data_validator.py;9.03 Ko;2025-07-09 12:15:11
repertoire;c:\\temp\\tools\.pytest_cache;;3.17 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\.pytest_cache;.gitignore;39 octets;2025-07-09 12:21:36
fichier;c:\\temp\\tools\.pytest_cache;CACHEDIR.TAG;191 octets;2025-07-09 12:21:36
fichier;c:\\temp\\tools\.pytest_cache;README.md;310 octets;2025-07-09 12:21:36
repertoire;c:\\temp\\tools\.pytest_cache\v;;2.64 Ko;2025-07-21 10:31:02
repertoire;c:\\temp\\tools\.pytest_cache\v\cache;;2.64 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\.pytest_cache\v\cache;lastfailed;2 octets;2025-07-09 15:04:44
fichier;c:\\temp\\tools\.pytest_cache\v\cache;nodeids;2.64 Ko;2025-07-09 15:04:44
fichier;c:\\temp\\tools\.pytest_cache\v\cache;stepwise;2 octets;2025-07-09 15:04:44
repertoire;c:\\temp\\tools\data_analysis;;28.33 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_analysis;csv_analyzer.py;9.35 Ko;2025-07-09 17:07:12
fichier;c:\\temp\\tools\data_analysis;desktop.ini;50 octets;2025-07-08 12:31:20
fichier;c:\\temp\\tools\data_analysis;quick_analyzer.py;3.63 Ko;2025-07-07 15:10:24
fichier;c:\\temp\\tools\data_analysis;__init__.py;0 octets;2025-07-07 12:47:15
repertoire;c:\\temp\\tools\data_analysis\logs;;1.67 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_analysis\logs;test.log;1.67 Ko;2025-07-08 12:35:52
repertoire;c:\\temp\\tools\data_analysis\__pycache__;;13.63 Ko;2025-07-21 10:31:02
